ProductId;ProductName;ProductSubcategory;ProductCategory;ProductDescription;Color;StandardCost;rn
BB-7421;LL Bottom Bracket;Bottom Brackets;Components;Chromoly steel.;NA;23,9716
BB-8107;ML Bottom Bracket;Bottom Brackets;Components;"Aluminum alloy cups; large diameter spindle.";NA;44,9506
BB-9108;HL Bottom Bracket;Bottom Brackets;Components;Aluminum alloy cups and a hollow axle.;NA;53,9416
BC-M005;Mountain Bottle Cage;Bottles and Cages;Accessories;Tough aluminum cage holds bottle securly on tough terrain.;NA;3,7363
BC-R205;Road Bottle Cage;Bottles and Cages;Accessories;"Aluminum cage is lighter than our mountain version; perfect for long distance trips.";NA;3,3623
BK-M18B-40;Mountain-500 Black, 40;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Black;294,5797
BK-M18B-42;Mountain-500 Black, 42;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Black;294,5797
BK-M18B-44;Mountain-500 Black, 44;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Black;294,5797
BK-M18B-48;Mountain-500 Black, 48;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Black;294,5797
BK-M18B-52;Mountain-500 Black, 52;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Black;294,5797
BK-M18S-40;Mountain-500 Silver, 40;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Silver;308,2179
BK-M18S-42;Mountain-500 Silver, 42;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Silver;308,2179
BK-M18S-44;Mountain-500 Silver, 44;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Silver;308,2179
BK-M18S-48;Mountain-500 Silver, 48;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Silver;308,2179
BK-M18S-52;Mountain-500 Silver, 52;Mountain Bikes;Bikes;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;Silver;308,2179
BK-M38S-38;Mountain-400-W Silver, 38;Mountain Bikes;Bikes;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;Silver;419,7784
BK-M38S-40;Mountain-400-W Silver, 40;Mountain Bikes;Bikes;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;Silver;419,7784
BK-M38S-42;Mountain-400-W Silver, 42;Mountain Bikes;Bikes;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;Silver;419,7784
BK-M38S-46;Mountain-400-W Silver, 46;Mountain Bikes;Bikes;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;Silver;419,7784
BK-M47B-38;Mountain-300 Black, 38;Mountain Bikes;Bikes;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;598,4354
BK-M47B-40;Mountain-300 Black, 40;Mountain Bikes;Bikes;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;598,4354
